"Source:","C:\Users\Balla\Documents\GitHub\HEKK\KICAD_project\control_modul\control_modul.kicad_sch"
"Date:","2022. 10. 01. 16:43:07"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"11","1","C18","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"12","2","C19, C23","1u","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"13","1","C20","33u","Device:C_Polarized_Small","Resistor_SMD:R_0805_2012Metric","~"
"14","1","C21","10u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric","~"
"15","1","C22","22u","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric","~"
"16","1","C24","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"17","2","D1, D2","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"18","1","D3","D_TVS","Device:D_TVS","Resistor_SMD:R_0805_2012Metric","~"
"19","1","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~"
"20","1","F1","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~"
"21","1","FB1","BLM18Ag102sn1","Device:FerriteBead_Small","Resistor_SMD:R_0201_0603Metric","~"
"22","2","FB2, FB3","FerriteBead","Device:FerriteBead","Resistor_SMD:R_0603_1608Metric","~"
"23","3","J1, J3, J4","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"24","1","J2","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal"," ~"
"25","1","J5","Jack-DC","Connector:Jack-DC","Connector:Banana_Jack_2Pin","~"
"26","1","K1","EC2-3NU","Relay:EC2-3NU","Relay_THT:Relay_DPDT_Kemet_EC2","https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf"
"27","1","L1","82n","Device:L_Small","Resistor_SMD:R_0402_1005Metric","~"
"28","3","L2, L4, L5","20n","Device:L_Small","Resistor_SMD:R_0402_1005Metric","~"
"29","1","L6","2u2","Device:L_Small","Resistor_SMD:R_0402_1005Metric","~"
"30","1","Q1","PN2222A","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"31","1","R1","47k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"32","1","R2","820k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~"
"33","1","R3","10k","Device:R","Capacitor_SMD:C_0805_2012Metric","~"
"34","1","R4","R","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"35","1","U1","ESP32","HEKK:ESP32","ESP32-S3-footprint:XCVR_ESP32-S3-WROOM-1-N16R2",""
"36","1","U2","EFR32FG23A020F512GM48-B_","EFR32:EFR32FG23A020F512GM48-B_","EFR32:EFR32FG23A020F512GM48-B",""
"37","1","U3","P78E05_1000","P78E05_1000:P78E05_1000","",""
"38","1","Y1","39MHz","Device:Crystal_Small","Crystal:Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm","~"
